epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2951,1.44863,1.66128,0.9754,0.93862,0.58738,0.71293,0.41486,1.36317,1.80156,0.92389,0.000661017,0.000661017,0.000661017
2,60.5527,1.45839,1.1099,0.96379,0.90495,0.63508,0.71313,0.42521,1.30837,1.01252,0.92728,0.00131454,0.00131454,0.00131454
3,78.0314,1.46483,0.9624,0.96783,0.8624,0.66453,0.76076,0.43622,1.32384,0.86742,0.92997,0.00195486,0.00195486,0.00195486
4,99.5205,1.40455,0.85267,0.96035,0.86759,0.64601,0.77488,0.46225,1.25196,0.84896,0.91658,0.0019406,0.0019406,0.0019406
5,113.86,1.38045,0.80523,0.95795,0.85612,0.72855,0.80348,0.47132,1.2984,0.76181,0.93207,0.0019208,0.0019208,0.0019208
6,142.593,1.37212,0.77657,0.9503,0.91626,0.72343,0.79828,0.48664,1.23502,0.70318,0.90144,0.001901,0.001901,0.001901
7,176.136,1.34125,0.74392,0.94337,0.90771,0.74008,0.82056,0.49735,1.24017,0.69828,0.91428,0.0018812,0.0018812,0.0018812
8,211.375,1.32347,0.72685,0.93531,0.88503,0.72471,0.8202,0.50583,1.17434,0.66087,0.88157,0.0018614,0.0018614,0.0018614
9,233.508,1.3004,0.70947,0.93006,0.91329,0.74392,0.8292,0.51756,1.16713,0.66033,0.88751,0.0018416,0.0018416,0.0018416
10,247.591,1.30553,0.70504,0.92539,0.93646,0.76569,0.84573,0.53345,1.14165,0.61712,0.87809,0.0018218,0.0018218,0.0018218
11,261.73,1.28785,0.6888,0.93071,0.90813,0.73752,0.82458,0.51097,1.18411,0.67028,0.90308,0.001802,0.001802,0.001802
12,276.038,1.27422,0.68153,0.92853,0.91466,0.7452,0.83441,0.51294,1.18429,0.6446,0.88159,0.0017822,0.0017822,0.0017822
13,290.321,1.2801,0.66959,0.92265,0.91161,0.73367,0.82988,0.53259,1.0942,0.61352,0.86649,0.0017624,0.0017624,0.0017624
14,304.716,1.2643,0.6629,0.90912,0.88938,0.76825,0.85415,0.54191,1.11609,0.59747,0.87105,0.0017426,0.0017426,0.0017426
15,319.096,1.25933,0.66183,0.9141,0.90054,0.77675,0.84979,0.53582,1.12907,0.61264,0.86783,0.0017228,0.0017228,0.0017228
16,333.526,1.23266,0.64585,0.90778,0.87329,0.71447,0.81897,0.53175,1.07065,0.63058,0.85787,0.001703,0.001703,0.001703
17,347.983,1.2085,0.63033,0.90669,0.9107,0.74429,0.8517,0.53903,1.121,0.59921,0.87732,0.0016832,0.0016832,0.0016832
18,362.536,1.2347,0.64511,0.90609,0.91149,0.758,0.83296,0.53293,1.09719,0.57414,0.86358,0.0016634,0.0016634,0.0016634
19,377.477,1.22224,0.63127,0.90673,0.91327,0.79001,0.85137,0.5406,1.09535,0.5945,0.86916,0.0016436,0.0016436,0.0016436
20,392.075,1.21213,0.62531,0.90192,0.9276,0.78233,0.86213,0.5533,1.06571,0.54081,0.86045,0.0016238,0.0016238,0.0016238
21,406.797,1.19733,0.61868,0.89638,0.92774,0.76184,0.85445,0.549,1.08674,0.58494,0.86831,0.001604,0.001604,0.001604
22,421.488,1.2074,0.61959,0.9011,0.9236,0.77337,0.85185,0.55148,1.06854,0.57264,0.86205,0.0015842,0.0015842,0.0015842
23,436.187,1.21096,0.61301,0.89969,0.92032,0.78489,0.86562,0.56242,1.0368,0.54542,0.84711,0.0015644,0.0015644,0.0015644
24,450.767,1.18688,0.60976,0.8953,0.92907,0.77721,0.86035,0.54952,1.09435,0.5729,0.86654,0.0015446,0.0015446,0.0015446
25,465.468,1.1894,0.6047,0.89272,0.91926,0.77977,0.86922,0.56343,1.04638,0.54118,0.85782,0.0015248,0.0015248,0.0015248
26,480.168,1.17961,0.59933,0.88861,0.90844,0.78489,0.87018,0.56184,1.05779,0.54729,0.86023,0.001505,0.001505,0.001505
27,494.823,1.18283,0.60242,0.89292,0.94956,0.79544,0.87285,0.56567,1.04132,0.54153,0.8517,0.0014852,0.0014852,0.0014852
